url,title,year,location,date,sale_number,artist,title,medium,size,signage,provenance,condition,price,url,auctionUrl
https://www.deutscherandhackett.com/auction/lot/arafura-swamp-iv-1996,"ARAFURA SWAMP IV, 1996",2025,Melbourne,26 March,81,LIN ONUS,"ARAFURA SWAMP IV, 1996",synthetic polymer paint on canvas,182.0 x 182.0 cm,signed lower right: Lin Onusbears inscription verso: SO1 ARAFURA SWAMP IV,"Private collection, Victoria, acquired directly from the artist in 1996",Not specified,"$368,182 (",https://www.deutscherandhackett.com/auction/lot/arafura-swamp-iv-1996,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/yam-flowers-1994,"YAM FLOWERS, 1994",2025,Melbourne,26 March,81,EMILY KAM KNGWARREYE,"YAM FLOWERS, 1994",synthetic polymer paint on linen,119.0 x 90.5 cm,bears inscription verso: artist’s name and Delmore Gallery cat. 94B023,"Commissioned by Delmore Gallery, via Alice Springs, Northern Territory in February 1994Hogarth Gallery, SydneyPrivate collection, Melbourne, acquired from the above in October 1995This work is accompanied by a certificate of authenticity from Delmore Gallery which states:‘Such exaggerated application of colours, highlights the varied and changing colours of the daisy of the Anooralya Yam mythology. This yam mythology is central to Emily Kngwarreye’s custodial responsibilities for her country called Alalgura on Utopia Station.Emily Kngwarreye completes a canvas in one session. The “story” is applied onto a prepared black canvas, and is viewed as a seemingly unregulated and spontaneous manner of expression, often concentrating on one area, and occasionally allowing an abandoned outburst.The dotwork indicates through her main colours, red and yellow, that summer rains have fallen. In her layered approach, we see the sporadic clustered growth of plants in different stages of maturity. Understanding the life cycle of these plants is vital to survival in the bush, as is understanding the human life cycle and its needs. This knowledge is affirmed within the narrative of the song cycle sung in ceremony. Ceremony, or “awelye”, recognises the spiritual power that maintains nature’s fertility and hardness, and celebrates this to ensure the survival of future generations.’",Not specified,"$165,682 (",https://www.deutscherandhackett.com/auction/lot/yam-flowers-1994,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/untitled-awelye-1992,"UNTITLED (AWELYE), 1992",2025,Melbourne,26 March,81,EMILY KAM KNGWARREYE,"UNTITLED (AWELYE), 1992",synthetic polymer paint on canvas,164.0 x 228.0 cm,"bears inscription verso: artist's name, 'Rodney Gooch' and Mulga Bore Artists cat. 4.892","Mulga Bore Artists, Alice Springs, Northern TerritoryHugh Jamieson Collection, SydneyPrivate collection, New South WalesDeutscher and Hackett, Melbourne, 18 May 2011, lot 12 (as ‘Untitled’)Private collection, PerthDeutscher and Hackett, Melbourne, 27 November 2013, lot 139 (as ‘Untitled’)Private collection, Brisbane",Not specified,"$1,196,591 (",https://www.deutscherandhackett.com/auction/lot/untitled-awelye-1992,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/dingo-dreaming-2001,"DINGO DREAMING, 2001",2025,Melbourne,26 March,81,PADDY NYUNKUNY BEDFORD,"DINGO DREAMING, 2001",natural earth pigments and synthetic binder on Belgian linen,122.0 x 135.0 cm,"signed with initials verso: PBbears inscription verso: artist’s name, title and Jirrawun Arts cat. PB 8 2001-114","Jirrawun Arts, Kununurra, Western AustraliaRAFT Artspace, Alice Springs, Northern TerritoryPrivate collectionGRANTPIRRIE Gallery, SydneyPrivate collection, Sydney, acquired from the above in 2007A Secondary Eye, BrisbanePrivate collection, Brisbane, acquired from the above in 2022",Not specified,"$159,545 (",https://www.deutscherandhackett.com/auction/lot/dingo-dreaming-2001,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/kulama-2014,"KULAMA, 2014",2025,Melbourne,26 March,81,TIMOTHY COOK,"KULAMA, 2014",natural earth pigments and natural binders on linen,184.0 x 244.0 cm,bears inscription verso: artist’s name and Jilamara Arts and Crafts cat. 226-14,"Jilamara Arts and Crafts, Melville Island, Northern TerritoryPrivate collection, Melbourne",Not specified,"$27,000 (",https://www.deutscherandhackett.com/auction/lot/kulama-2014,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/parlini-jilamara-2002,"PARLINI JILAMARA, 2002",2025,Melbourne,26 March,81,KITTY KANTILLA (KUTUWULUMI PURAWARRUMPATU),"PARLINI JILAMARA, 2002",natural earth pigments and synthetic binder on linen,98.0 x 76.0 cm,bears inscription verso: artist's name and Jilamara Arts and Crafts cat. 162-02,"Jilamara Arts and Crafts, Melville Island, Northern Territory (stamped verso)Private collection, Sydney, acquired from the above in 2002Joel Fine Art, Melbourne, 3 June 2008, lot 12Private collection, Melbourne",Not specified,"$36,818 (",https://www.deutscherandhackett.com/auction/lot/parlini-jilamara-2002,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/ngalyod-1993,"NGALYOD, 1993",2025,Melbourne,26 March,81,BALANG NAKURULK (MR MAWURNDJUL),"NGALYOD, 1993",natural earth pigments on eucalyptus tetradonta bark,198.0 x 66.0 cm (irregular),"bears inscription on label verso: artist's name, medium, language group and Maningrida Arts and Culture cat. 1233","Maningrida Arts and Culture, Maningrida, Northern TerritoryGallery Gabrielle Pizzi, Melbourne (label attached verso)Private collection, Melbourne, acquired from the above in December 2007",Not specified,"$79,773 (",https://www.deutscherandhackett.com/auction/lot/ngalyod-1993,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/milmilngkan-site-2008-0,"MILMILNGKAN SITE, 2008",2025,Melbourne,26 March,81,BALANG NAKURULK (MR MAWURNDJUL),"MILMILNGKAN SITE, 2008",natural earth pigments with synthetic binder on eucalyptus tetradonta bark,130.0 x 53.0 cm (irregular),"bears inscription on label attached verso: artist's name, subject, medium, size, language group and Maningrida Arts and Culture cat. 1239-08","Maningrida Arts and Culture, Maningrida, Northern Territory (label attached verso)Private collection, New South WalesCooee Art, Sydney, 27 November 2018, lot 44 (as ‘Mardayin at Dilebang’)Private collection, SydneyThis work is accompanied by a certificate of authenticity from Maningrida Arts and Culture which states:‘John Mawurndjul has depicted Mardayin at Milmilngkan. The billabong at Milmilngkan is where Ngalyod – the rainbow serpent – resides under the water.Kuninjku people say there are two Rainbow serpents. One is Yingarna who is said to have been the original creator of all ancestral beings, the ‘first mother’. Yingarna’s first born is the Rainbow serpent called Ngalyod. Yingarna – the rainbow serpent – or her son Ngalyod are common subject on contemporary Kuninjku bark paintings.Ngalyod is very important in Kuninjku cosmology and is associated with the creation of all sacred sites,djang, in Kuninjku clan lands. For example, ancestral stories relate how creators or ancestral beings had travelled across the country and had angered Ngalyod who swallowed them and returned to the earth to create the site. Today, Ngalyod protects these sites and its power is present in each one. Ngalyod has both powers of creation and destruction and is most strongly associated with rain, monsoon seasons and rainbows which are a manifestation of Ngalyod’s power and presence. Ngalyod is associated with the destructive power of the storms and with plenty of the wet season, being both a destroyer and a giver of life. Ngalyod’s power controls the fertility of the country and the seasons.John Mawurndjul lives at Milmilngkan near this billabong and says that underneath the water lies the power of Ngalyod. In this painting, he depicts the power of the place withrarrk– cross-hatching – which contains Mardayin power.’",Not specified,"$22,091 (",https://www.deutscherandhackett.com/auction/lot/milmilngkan-site-2008-0,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/lupulnga-2004,"LUPULNGA, 2004",2025,Melbourne,26 March,81,MAKINTI NAPANANGKA,"LUPULNGA, 2004",synthetic polymer paint on Belgian linen,121.5 x 92.0 cm,"bears inscription verso: artist’s name, size and Papunya Tula Artists cat. MN0408018","Papunya Tula Artists, Alice Springs, Northern TerritorySuzanne O’Connell Gallery, BrisbanePrivate collection, Canberra, acquired from the above in 2011This work is accompanied by a certificate of authenticity from Papunya Tula Artists which states:'This painting depicts designs associated with the rockhole site of Lupulnga, south of the Kintore community. The Peewee (small bird) Dreaming is associated with this site. A group of women visited the site before continuing their travels north to Kintore. The lines in the painting represent spun hair-string which is used in the making of hair-belts worn during the ceremonies associated with the area.'",Not specified,"$42,955 (",https://www.deutscherandhackett.com/auction/lot/lupulnga-2004,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/untitled-2007-5,"UNTITLED, 2007",2025,Melbourne,26 March,81,DOREEN REID NAKAMARRA,"UNTITLED, 2007",synthetic polymer paint on Belgian linen,182.0 x 120.5 cm,"bears inscription verso: artist’s name, size and Papunya Tula Artists cat. DR0712084","Papunya Tula Artists, Alice Springs, Northern TerritoryPrivate collection, Sydney",Not specified,"$208,636 (",https://www.deutscherandhackett.com/auction/lot/untitled-2007-5,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
